u,v,L
-6.91807379233648,93.71738754357644,70
12.90973488526747,90.80088747202747,70
35.99829234520513,87.37004088436676,70
62.92211421607516,83.34946798721332,70
94.35365046464278,78.64459200591745,70
131.07524593290276,73.1416740656678,70
173.98909844189356,66.7074299635537,70
224.12292406315024,59.18884390459226,70
282.62793038117564,50.41386280455748,70
350.76435916687115,40.193790935965886,70
429.868440457231,28.328375740286656,70
521.2934614369703,14.614719908343758,70
626.31746763464,-1.1388337466017318,70
746.0119204255776,-19.092979099868696,70
881.0707376325481,-39.35179110798907,70
1031.6086749536942,-61.93247684879647,70
1196.9520114787892,-86.73397514222619,70
1375.4606620454551,-113.51027176569576,70
1564.4334847845737,-141.8561947633917,70
1760.1493013361805,-171.2135670729821,70
1958.077393632614,-200.90278084676763,70
2153.2520218480454,-230.17897505101013,70
2340.756173060805,-258.3045977220841,70
2516.2202346203258,-284.62420695194436,70
2676.2311564663637,-308.6258452273666,70
2818.573576273337,-329.97720819788674,70
2942.2748779215276,-348.53240344493395,70
3047.4787003177958,-364.3129768043134,70
3135.2060400243527,-377.472077760277,70
3207.0721309978994,-388.25199140630264,70
3265.015614978111,-396.94351400333244,70
3311.075054116939,-403.8524298741561,70
3347.226571887373,-409.275157539721,70
3375.280911883379,-413.4833085391218,70
3396.829710455373,-416.71562832492094,70
3413.227950107858,-419.1753642727937,70
3425.6002564602386,-421.0312102256508,70
3434.8610396413997,-422.42032770282486,70
3441.741204783863,-423.4523524741944,70
3446.8166015561287,-424.2136619900343,70
3450.5352981127744,-424.7714664735311,70
3453.242131994427,-425.177491555779,70
3455.199894661736,-425.4711559558754,70
3456.6070610177085,-425.68223090927125,70
3457.6122857431783,-425.8330146180917,70
-204.44671338555736,-481.4449376771995,80
-204.36793668599597,-480.55437736430184,80
-204.25863474791586,-479.433469453804,80
-204.1125982993412,-478.014787229962,80
-203.92117796878466,-476.20830971109194,80
-203.6725087052349,-473.89341782919155,80
-203.35043129484393,-470.9080822420796,80
-202.93301905609823,-467.03444949987005,80
-202.3906077395976,-461.98006084404614,80
-201.68324365385726,-455.35431893614646,80
-200.75754826829726,-446.6409835859374,80
-199.5432204915391,-435.17019119050786,80
-197.9498797249006,-420.0989051719465,80
-195.86584080999305,-400.41803752910573,80
-193.1617630055023,-375.0175931660405,80
-189.70355440184787,-342.85290706772196,80
-185.3790239583772,-303.2493676364339,80
-180.13874220702672,-256.33168544563233,80
-174.04086753246355,-203.44765266364553,80
-167.27558358129625,-147.32315101350528,80
-160.14128823773703,-91.68715775732453,80
-152.96689692990233,-40.375848130895314,80
-146.0132352413957,3.680368603309896,80
-139.40450092966054,39.05857296415631,80
-133.1172936303373,65.81113663804095,80
-127.0151742904685,84.99185427581823,80
