"Ethnic.Group","ANZSOC.Division","ANZSOC.Group","ANZSOC.Subdivision","Mop.Division","Mop.Group","Mop.Subdivision","SEX","Date"
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-02-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Harassment and Private Nuisance","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-03-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-03-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Abduction and Kidnapping","Abduction and Kidnapping","Court Action","Prosecution","Court Action N.E.C.","Male",2021-03-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-02-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-03-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Abduction and Kidnapping","Abduction and Kidnapping","Court Action","Prosecution","Court Action N.E.C.","Male",2021-03-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-02-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-03-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-02-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-03-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-02-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-03-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-02-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-03-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-02-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-03-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Harassment and Private Nuisance","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-03-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Court Action","Prosecution","Court Action N.E.C.","Male",2021-03-01
"European","Acts Intended to Cause Injury","Serious Assault Not Resulting in Injury","Assault","Court Action","Prosecution","Court Action N.E.C.","Male",2021-02-01
"European","Acts Intended to Cause Injury","Serious Assault Resulting in Injury","Assault","Court Action","Prosecution","Court Action N.E.C.","Male",2021-02-01
"European","Acts Intended to Cause Injury","Common Assault","Assault","Court Action","Prosecution","Court Action N.E.C.","Male",2021-03-01
"European","Acts Intended to Cause Injury","Serious Assault Resulting in Injury","Assault","Court Action","Prosecution","Court Action N.E.C.","Male",2021-03-01
"European","Acts Intended to Cause Injury","Serious Assault Not Resulting in Injury","Assault","Court Action","Prosecution","Court Action N.E.C.","Male",2021-04-01
"European","Acts Intended to Cause Injury","Common Assault","Assault","Court Action","Prosecution","Court Action N.E.C.","Male",2021-02-01
